match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1376036,2019-10-05,Liverpool,Leicester,26,14,2047.96130371,1771.94616699
1376037,2019-11-30,Chelsea,West Ham,15,29,1887.44018555,1694.2388916
1376038,2019-10-06,Man City,Wolves,167,161,2039.91918945,1719.90148926
1376039,2019-12-01,Leicester,Everton,14,31,1822.52648926,1710.85656738
1376040,2019-10-06,Newcastle,Man United,23,32,1690.15319824,1824.25561523
1376041,2019-11-30,Liverpool,Brighton,26,211,2050.96191406,1637.92700195
1376042,2019-10-05,Norwich,Aston Villa,168,24,1632.28063965,1613.44152832
1376043,2019-12-01,Man United,Aston Villa,32,24,1803.59814453,1641.38977051
1376044,2019-10-06,Southampton,Chelsea,18,15,1669.04675293,1861.44934082
1376045,2019-11-30,Newcastle,Man City,23,167,1697.79858398,2006.15869141
1376046,2019-10-05,Watford,Sheffield United,27,163,1646.25720215,1639.50512695
1376047,2019-12-01,Norwich,Arsenal,168,13,1604.76806641,1823.32739258
1376048,2019-10-05,West Ham,Crystal Palace,29,162,1750.74645996,1743.5657959
1376049,2019-11-30,Southampton,Watford,18,27,1638.18261719,1639.05334473
1376050,2019-10-19,Aston Villa,Brighton,24,211,1633.25549316,1643.91918945
1376051,2019-11-30,Tottenham,Bournemouth,30,183,1849.00244141,1692.14807129
1376052,2019-10-19,Bournemouth,Norwich,183,168,1705.13085938,1612.46679688
1376053,2019-12-01,Wolves,Sheffield United,161,163,1753.89624023,1674.70056152
1376054,2019-10-19,Chelsea,Newcastle,15,23,1869.82348633,1700.28808594
1376055,2019-12-05,Arsenal,Brighton,13,211,1819.09423828,1637.16784668
1376056,2019-10-19,Crystal Palace,Man City,162,167,1753.17407227,2017.5826416
1376057,2019-12-03,Burnley,Man City,184,167,1689.26367188,2000.07397461
1376058,2019-10-19,Everton,West Ham,31,29,1723.21374512,1741.13806152
1376059,2019-12-04,Leicester,Watford,14,27,1826.49633789,1632.59069824
1376060,2019-10-19,Leicester,Burnley,14,184,1770.26086426,1702.32043457
1376061,2019-12-05,Sheffield United,Newcastle,163,23,1678.54516602,1703.88330078
1376062,2019-10-20,Man United,Liverpool,32,26,1814.12060547,2049.64672852
1376063,2019-12-04,Wolves,West Ham,161,29,1750.05163574,1707.98510742
1376064,2019-10-21,Sheffield United,Arsenal,163,13,1641.37866211,1884.89257812
1376065,2019-12-04,Man United,Tottenham,32,30,1797.92053223,1852.06982422
1376066,2019-10-19,Tottenham,Watford,30,27,1840.6505127,1644.38378906
1376067,2019-12-04,Chelsea,Aston Villa,15,24,1873.69384766,1647.06738281
1376068,2019-10-19,Wolves,Southampton,161,18,1742.23803711,1660.67272949
1376069,2019-12-04,Southampton,Norwich,18,168,1644.6451416,1609.0012207
1376070,2019-10-27,Arsenal,Crystal Palace,13,162,1882.70019531,1757.5534668
1376071,2019-12-03,Crystal Palace,Bournemouth,162,183,1742.86584473,1689.08081055
1376072,2019-10-26,Brighton,Everton,211,31,1646.25756836,1742.05834961
1376073,2019-12-04,Liverpool,Everton,26,31,2051.72119141,1706.88671875
1376074,2019-10-26,Burnley,Chelsea,184,15,1706.49755859,1892.25524902
1376075,2019-12-08,Aston Villa,Leicester,24,14,1644.88891602,1830.1706543
1376076,2019-10-27,Liverpool,Tottenham,26,30,2056.80932617,1850.55249023
1376077,2019-12-07,Bournemouth,Liverpool,183,26,1683.89880371,2053.68041992
1376078,2020-01-21,Aston Villa,Watford,24,27,1625.25854492,1691.02490234
1376079,2020-02-16,Aston Villa,Tottenham,24,30,1627.54907227,1842.43591309
1376080,2020-01-01,West Ham,Bournemouth,29,183,1691.03125,1679.67944336
1376081,2020-01-21,Bournemouth,Brighton,183,211,1643.27380371,1655.77294922
1376082,2019-12-29,Liverpool,Wolves,26,161,2074.3515625,1776.21203613
1376083,2020-02-08,Brighton,Watford,211,27,1648.64099121,1674.95153809
1376084,2020-01-12,Aston Villa,Man City,24,167,1626.61523438,2003.45373535
1376085,2020-01-21,Everton,Newcastle,31,23,1747.29089355,1710.97521973
1376086,2019-12-29,Man City,Sheffield United,167,163,1999.57836914,1691.62390137
1376087,2020-02-17,Chelsea,Man United,15,32,1843.89428711,1798.00317383
1376088,2020-01-12,Bournemouth,Watford,183,27,1667.32641602,1672.50598145
1376089,2020-01-22,Leicester,West Ham,14,29,1817.69519043,1696.35742188
1376090,2019-12-28,Newcastle,Everton,23,31,1717.23693848,1735.05212402
1376091,2020-02-08,Everton,Crystal Palace,31,162,1752.50488281,1723.13879395
1376092,2020-01-11,Chelsea,Burnley,15,184,1851.26318359,1672.70043945
1376093,2020-01-21,Sheffield United,Man City,163,167,1699.68200684,2000.07128906
1376094,2019-12-28,Norwich,Tottenham,168,30,1595.27258301,1845.86376953
1376095,2020-02-19,Man City,West Ham,167,29,1986.92626953,1684.68237305
1376096,2020-01-11,Crystal Palace,Arsenal,162,13,1741.9309082,1806.4329834
1376097,2020-01-23,Wolves,Liverpool,161,26,1769.41809082,2083.47436523
1376098,2019-12-28,Southampton,Crystal Palace,18,162,1674.03710938,1744.68225098
1376099,2020-02-15,Norwich,Liverpool,168,26,1607.93395996,2090.13623047
1376100,2020-01-11,Everton,Brighton,31,211,1742.39196777,1663.10144043
1376101,2020-01-22,Man United,Burnley,32,184,1818.5970459,1678.35632324
1376102,2019-12-28,Watford,Aston Villa,27,24,1652.96154785,1625.35754395
1376103,2020-02-09,Sheffield United,Bournemouth,163,183,1707.51635742,1659.10217285
1376104,2020-01-11,Leicester,Southampton,14,18,1841.3951416,1685.04577637
1376105,2020-01-21,Chelsea,Arsenal,15,13,1845.62475586,1801.8182373
1376106,2019-12-28,West Ham,Leicester,29,14,1697.29272461,1823.93688965
1376107,2020-02-15,Southampton,Burnley,18,184,1704.12854004,1698.06872559
1376108,2020-01-11,Man United,Norwich,32,168,1816.56176758,1602.71081543
1376109,2020-01-22,Tottenham,Norwich,30,168,1824.20874023,1605.85144043
1376110,2020-01-01,Arsenal,Man United,13,32,1796.1661377,1826.82861328
1376111,2020-02-14,Wolves,Leicester,161,14,1769.3536377,1823.3963623
1376112,2020-01-10,Sheffield United,West Ham,163,29,1688.32421875,1703.38427734
1376113,2020-01-21,Crystal Palace,Southampton,162,18,1749.38342285,1690.34143066
1376114,2020-01-01,Brighton,Chelsea,211,15,1659.32214355,1855.0423584
1376115,2020-02-23,Arsenal,Everton,13,31,1818.53051758,1761.59338379
1376116,2020-01-11,Tottenham,Liverpool,30,26,1830.16821289,2077.15722656
1376117,2020-02-01,Bournemouth,Aston Villa,183,24,1653.1048584,1633.54638672
1376118,2020-01-01,Burnley,Aston Villa,184,24,1683.97790527,1615.33764648
1376119,2020-02-22,Burnley,Bournemouth,184,183,1708.20202637,1654.1496582
1376120,2020-01-11,Wolves,Newcastle,161,23,1765.18786621,1696.81872559
1376121,2020-02-02,Burnley,Arsenal,184,13,1696.46069336,1804.58984375
1376122,2020-01-02,Liverpool,Sheffield United,26,163,2075.85131836,1689.63024902
1376123,2020-02-22,Chelsea,Tottenham,15,30,1829.71386719,1838.09423828
1376124,2020-01-18,Arsenal,Sheffield United,13,163,1806.22546387,1695.27478027
1376125,2020-02-01,Crystal Palace,Sheffield United,162,163,1733.7220459,1696.93310547
1376126,2020-01-01,Man City,Everton,167,31,2001.57202148,1744.27368164
1376127,2020-02-22,Crystal Palace,Newcastle,162,23,1715.27600098,1700.24511719
1376128,2020-01-18,Brighton,Aston Villa,211,24,1658.27880859,1622.75268555
1376129,2020-02-01,Leicester,Chelsea,14,15,1824.4375,1842.85314941
1376130,2020-01-01,Newcastle,Leicester,23,14,1708.01550293,1830.19836426
1376131,2020-02-22,Leicester,Man City,14,167,1823.90759277,1989.73254395
1376132,2020-01-19,Burnley,Leicester,184,14,1667.64929199,1828.40234375
1376133,2020-02-01,Liverpool,Southampton,26,18,2088.26196289,1706.00280762
1376134,2020-01-01,Norwich,Crystal Palace,168,162,1600.27038574,1744.37133789
1376135,2020-02-24,Liverpool,West Ham,26,29,2084.23266602,1683.10168457
1376136,2020-01-19,Liverpool,Man United,26,32,2080.73095703,1821.34057617
1376137,2020-02-01,Man United,Wolves,32,161,1800.49267578,1766.86425781
1376138,2020-01-01,Southampton,Tottenham,18,30,1674.34790039,1840.8659668
1376139,2020-02-23,Man United,Watford,32,27,1814.52392578,1676.29992676
1376140,2020-01-18,Man City,Crystal Palace,167,162,2007.31616211,1742.13842773
1376141,2020-02-01,Newcastle,Norwich,23,168,1713.54675293,1603.51818848
1376142,2020-01-01,Watford,Wolves,27,161,1662.98144531,1774.71240234
1376143,2020-02-22,Sheffield United,Brighton,163,211,1713.69445801,1648.51831055
1376144,2020-01-18,Newcastle,Chelsea,23,15,1700.28564453,1856.31433105
1376145,2020-02-02,Tottenham,Man City,30,167,1826.54199219,2002.82019043
1376146,2020-02-22,Southampton,Aston Villa,18,24,1695.22070312,1624.22436523
1376147,2020-01-18,Norwich,Bournemouth,168,183,1597.93200684,1651.19335938
1376148,2020-02-01,Watford,Everton,27,31,1682.73706055,1744.71948242
1376149,2020-02-23,Wolves,Norwich,161,168,1781.91577148,1607.64501953
1376150,2020-01-18,Southampton,Wolves,18,161,1698.03857422,1761.72094727
1376151,2020-02-01,West Ham,Brighton,29,211,1687.38146973,1645.94189453
1376152,2020-06-17,Aston Villa,Sheffield United,24,163,1602.37646484,1706.29711914
1376153,2020-01-18,Watford,Tottenham,27,30,1688.63903809,1826.59460449
1376154,2020-02-16,Arsenal,Newcastle,13,23,1802.98193359,1709.13098145
1376155,2020-01-18,West Ham,Everton,29,31,1696.43371582,1747.21459961
1376156,2020-07-26,Arsenal,Watford,13,27,1804.91430664,1658.36547852
1376157,2020-07-15,Arsenal,Liverpool,13,26,1804.93798828,2004.41625977
1376158,2020-07-07,Arsenal,Leicester,13,14,1814.2121582,1797.74145508
1376159,2020-07-26,Burnley,Brighton,184,211,1743.51489258,1650.88720703
1376160,2020-07-15,Burnley,Wolves,184,161,1736.63659668,1789.93664551
1376161,2020-07-09,Aston Villa,Man United,24,32,1598.41015625,1869.15246582
1376162,2020-07-26,Chelsea,Wolves,15,161,1819.88391113,1796.16149902
1376163,2020-07-14,Chelsea,Norwich,15,168,1822.50512695,1552.53137207
1376164,2020-07-09,Bournemouth,Tottenham,183,30,1608.83251953,1795.57617188
1376165,2020-07-26,Crystal Palace,Tottenham,162,30,1680.09057617,1819.37927246
1376166,2020-07-16,Crystal Palace,Man United,162,32,1693.46411133,1868.95715332
1376167,2020-07-08,Brighton,Liverpool,211,26,1655.96984863,2008.93481445
1376168,2020-07-26,Everton,Bournemouth,31,183,1742.0567627,1621.64343262
1376169,2020-07-16,Everton,Aston Villa,31,24,1737.67834473,1607.38085938
1376170,2020-07-07,Crystal Palace,Chelsea,162,15,1713.8737793,1834.12036133
1376171,2020-07-26,Leicester,Man United,14,32,1776.67382812,1870.03283691
1376172,2020-07-16,Leicester,Sheffield United,14,163,1779.35888672,1729.40380859
1376173,2020-07-09,Everton,Southampton,31,18,1751.07580566,1704.57836914
1376174,2020-07-26,Man City,Norwich,167,168,1992.10949707,1544.00561523
1376175,2020-07-15,Man City,Bournemouth,167,183,1986.37036133,1632.91418457
1376176,2020-07-08,Man City,Newcastle,167,23,1976.93554688,1712.03991699
1376177,2020-07-26,Newcastle,Liverpool,23,26,1690.24658203,1997.01611328
1376178,2020-07-15,Newcastle,Tottenham,23,30,1699.4597168,1799.15148926
1376179,2020-07-08,Sheffield United,Wolves,163,161,1702.30285645,1788.38598633
1376180,2020-07-26,Southampton,Sheffield United,18,163,1719.65039062,1712.30541992
1376181,2020-07-16,Southampton,Brighton,18,211,1712.57385254,1648.1015625
1376182,2020-07-07,Watford,Norwich,27,168,1659.35583496,1570.15783691
1376183,2020-07-26,West Ham,Aston Villa,29,24,1698.11523438,1623.97143555
1376184,2020-07-17,West Ham,Watford,29,27,1682.96362305,1672.28283691
1376185,2020-07-08,West Ham,Burnley,29,184,1678.20739746,1721.16088867
1376186,2020-07-21,Aston Villa,Arsenal,24,13,1612.04785156,1816.83776855
1376187,2020-07-12,Aston Villa,Crystal Palace,24,162,1593.16552734,1707.67944336
1376188,2020-07-19,Bournemouth,Southampton,183,18,1631.78234863,1709.51147461
1376189,2020-07-12,Bournemouth,Leicester,183,14,1612.71704102,1799.5559082
1376190,2020-07-20,Brighton,Newcastle,211,23,1651.16394043,1689.96984863
1376191,2020-07-11,Brighton,Man City,211,167,1653.1340332,1981.33776855
1376192,2020-07-22,Liverpool,Chelsea,26,15,1992.51635742,1824.38366699
1376193,2020-07-11,Liverpool,Burnley,26,184,2011.77062988,1729.28222656
1376194,2020-07-22,Man United,West Ham,32,29,1875.87451172,1692.27355957
1376195,2020-07-13,Man United,Southampton,32,18,1874.39709473,1707.13391113
1376196,2020-07-18,Norwich,Burnley,168,184,1550.65283203,1736.86779785
1376197,2020-07-11,Norwich,West Ham,168,29,1565.40881348,1670.08618164
1376198,2020-07-20,Sheffield United,Everton,163,31,1721.35083008,1733.01135254
1376199,2020-07-11,Sheffield United,Chelsea,163,15,1711.59411621,1840.31481934
1376200,2020-07-19,Tottenham,Leicester,30,14,1808.64135742,1787.41174316
1376201,2020-07-12,Tottenham,Arsenal,30,13,1791.69165039,1812.39782715
1376202,2020-07-21,Watford,Man City,27,167,1662.97302246,1987.5020752
1376203,2020-07-11,Watford,Newcastle,27,23,1664.1048584,1707.63769531
1376204,2020-07-20,Wolves,Crystal Palace,161,162,1789.70544434,1686.54663086
1376205,2020-07-12,Wolves,Everton,161,31,1779.09472656,1748.52026367
1376206,2020-06-20,Bournemouth,Crystal Palace,183,162,1638.36486816,1726.61730957
